Title; Link; Description
DIA Applications;https://www.mass.gov/doc/change-password-for-dia-login/download;
New STARS User Login Guide;https://www.secnav.navy.mil/rda/OneSource/Documents/WAWF%20Overview/Government%20Information/WAWF%20Web%20Based%20Training/LPOLPOR%20Role%20(One%20Pay)/newstarsuserloginguide.ppt;
Kerberos: Man's Best Friend;https://www.khoury.northeastern.edu/home/fell/COM1621/1621ppt/Kerberos.ppt;
How to Become a Payline Participant;https://www.doa.virginia.gov/onlineservices/payline/PaylineParticipant.ppt;
Password & Security;https://extranet.lionsclubs.org/comingsoon/wmmr/docs/wmmr_membership_activity_reporting_district_officers_seattle_2011.ppt;
Contact information;https://docs.cfbhn.org/pwdmgmt/Documents/SharePoint%20Password%20Management.ppt;
Forgotten Passwords Click Forgot your ...;https://portal.fmcsa.dot.gov/training/Training%20PowerPoint/FMCSA%20Portal%20Enforcement%20E11%20-%20Enforcment%20Individual%20Account%20Management.ppt;
robots.txt;https://www.tesla.cn/robots.txt;
Welcome to Taxpayer Service Center 101;https://portal.ct.gov/-/media/DRS/Electronic_Commerce/TSC/Forgotpasswordppt.ppt;
Lesson 1 Getting Started;https://www.chkd.org/uploadedFiles/Documents/Medical_Professionals/Lesson%201%20Getting%20Started.ppt;
Select “Internet Explorer” Enter URL;https://www.fsa.usda.gov/Internet/FSA_File/profilesetup_emp.ppt;
Games and the Impossibility of Realizable Ideal Functionality;https://crypto.stanford.edu/cs142/lectures/21-auth-pwd-mgmt.ppt;
dompass.ini;https://greyware.com/software/domainpassword/dompass.ini.txt;
Passwords on Unix - Imapsync - lamiral.info;https://imapsync.lamiral.info/FAQ.d/FAQ.Passwords_on_Unix.txt;
Developing and Deploying a PKI for Academia;http://www.dartmouth.edu/~deploypki/materials/modules/motivations/passwords_problems.ppt;
Method of Password Security Evaluation;http://dcabes.meeting.whut.edu.cn/DCABES2009/Files/presentation/Miloslav%20Hub.pot;
Password;https://www.atlantapublicschools.us/cms/lib/GA01000924/Centricity/Domain/7337/4th%20Grade%20ELA%20--%20Common%20Prefixes%20Password%20Game.ppt;-
UKEN-134-version1.txt;https://cuni.cz/UKEN-134-version1.txt;
Password Protection;http://www.abbotsleaschool.co.uk/wp-content/uploads/2020/11/Password-Protection-PP.ppt;
Student Online System;https://online.uom.ac.mu/StudentOnline/App_Guide/FAQ/loginHelp.pps;
Password Policy;http://csc.columbusstate.edu/summers/Research/password-policy.ppt;
Metroid Password Guide;https://games.technoplaza.net/mpg/password.txt;
Appropriate Access: Levels of Assurance;https://events.educause.edu/ir/library/powerpoint/PKI08006A.pps;
Types of E-mails;https://www.claytonschools.net/cms/lib/MO01000419/Centricity/Domain/1135/Password%20Personal%20Info%20Report.ppt;
v5530.ftp.readme.txt - FTP Directory Listing - IBM;https://public.dhe.ibm.com/storage/tivoli-storage-management/maintenance/server/v5r5/MVS/5.5.3.0/v5530.ftp.readme.txt;
robots.txt;http://www.environment.gov.au/robots.txt;
GPCA_Production_info.txt;https://www.philaculture.org/sites/default/files/file/GPCA_Production_info.txt;
1Password's word list;https://1password.com/txt/agwordlist.txt;
Sheet1;https://youngadventuress.com/wp-content/uploads/2013/10/website-details-2012-09-01-5.xls;
Handling events from text and password elements;https://www.cse.fau.edu/~xqzhu/cop3813/lectures/DHTML1/DHTML1.ppt;
Creating a Safe Password Activity;https://youthlinkcalgary.com/wp-content/uploads/2021/09/Creating-a-Safe-Password-Activity.ppt;
User Ids & Client IDs for Access to Industry Online Services;https://www1.agriculture.alberta.ca/$Department/deptdocs.nsf/ba3468a2a8681f69872569d60073fde1/34aeba794f5e216b87257f6b0078ba5c/$FILE/FireWeb-UserIDRequestForm-Jun16-2014.xls;
User Authentication;https://www.sqlite.org/src/doc/trunk/ext/userauth/user-auth.txt;
vol2/password;https://s3.amazonaws.com/plan9-bell-labs/7thEdMan/vol2/password.txt;
here;https://www.quantico.marines.mil/Portals/147/IPAC_IPAC%20POWER%20POINT%20PCS.ppt;
Windows Passwords: Everything You Need To Know;https://download.microsoft.com/download/f/4/a/f4a67fc8-c499-461d-a025-8155fb4f7a0f/Windows%20Passwords%20Master%201.5%20Handout%20-%20Jesper%20Johansson.ppt;
Enter Date & Time - La Dept. of Health - Louisiana.gov;https://ldh.la.gov/assets/medicaid/hss/docs/OTIS/OTIS20101019.ppt;
users.csv;https://docs.oracle.com/en/cloud/paas/analytics-cloud/tutorial-design-efficient-filters-essbase/files/users.csv;
About Your User ID & User Profile;https://www.epa.gov/sites/default/files/2018-03/aqsbasics2018_load_web.ppt;
OS X SDC Settings;https://csrc.nist.gov/CSRC/media/Projects/National-Checklist-Program/documents/Apple_Mac_OS_10.5_DoD_Recommended_Settings.xls;
Using your new iPad;https://www.dvusd.org/cms/lib011/AZ01901092/Centricity/Domain/2446/iPadStudentPresentation8-4-15.ppt;
Log In to CanyonsID;https://intranet.canyons.edu/resources/documents/departments/it/css/spss.txt;
sql.txt;https://home.uprm.edu/login/modules/uprmras/docs/sql.txt;
readme_ccpilotxm_winxp.txt;https://crosscontrol.com/media/xgypir5d/readme_ccpilotxm_winxp.txt;
expert-review.txt;https://publications.teamusec.de/2023-soups-pwm-adoption/files/expert-review.txt;
Sheet1;https://watech.wa.gov/sites/default/files/servicecatalog/activesync_device_test_matrix.xls;
Some Password Results;http://archive.dimacs.rutgers.edu/Workshops/Tools/slides/sasse.ppt;
Changelog;https://watchyourhack.com/changelog-wyh.txt;
robots.txt;https://www.nestlemilo.com.vn/robots.txt;
LINCOLN WATER DEPT Online Billing and Payment;https://lincoln.viewmybill.net/MoreInfo/Intedata/LINCOLN-BBS/blank.txt;
PUTTY.EXE-INSECURE-PASSWORD-STORAGE.txt - Altervista;http://hyp3rlinx.altervista.org/advisories/PUTTY.EXE-INSECURE-PASSWORD-STORAGE.txt;
SW-BS-01.txt;https://community.hpe.com/hpeb/attachments/hpeb/switching-a-series-forum/5668/2/SW-BS-01.txt;
user.txt;https://www.uvm.edu/~gbc/wiki/docs/user.txt;
SSMS Password Recovery.txt;https://community.cisco.com/kxiwq67737/attachments/kxiwq67737/5938j-disc-cisco-software/2371/1/SSMS%20Password%20Recovery.txt;
1.txt;https://saranshrealtors.com/root/upl/resume/1.txt;
email.txt;https://www.busonlineticket.co.th/wp-content/uploads/2016/12/email.txt;
Creating a COMMONS DEMO Account;https://www.era.nih.gov/presentations/regional/2005/cd/Creating_a_COMMONS_DEMO_Account.ppt;
privacy & security fundamentals for researchers;https://www.oakvalleyhealth.ca/wp-content/uploads/2022/10/MSH-REB-Privacy-and-Security-Fundamentals-for-Researchers.ppt;
username_password.txt;https://www.e-thaksalawa.moe.gov.lk/content/software/username_password.txt;
admin-user.txt;https://usergrid.apache.org/docs/_sources/orgs-and-apps/admin-user.txt;
CVE-2019-10921;https://www.syss.de/fileadmin/dokumente/Publikationen/Advisories/SYSS-2019-014.txt;
OS X Provisioning Script;https://assets.publishing.service.gov.uk/media/5a7c342440f0b67d0b11f8d9/osx-provisioning-script.txt;
IDHS Child Care Billing Line;https://www.dhs.state.il.us/OneNetLibrary/27894/documents/HCD/Billing/TelephoneBillingProviders2006.ppt;
API collection for adding a currency;https://help.hcltechsw.com/commerce/9.0.0/tutorials/code/de_newlangcurrency_currencyapicollection.txt;
https://erldc.in/wp-content/plugins/force-password...;https://erldc.in/wp-content/plugins/force-password-change/languages/force-password-change.pot;
robots.txt;https://www.allianzlife.com/robots.txt;
robots.txt;https://www.pacwest.com/robots.txt;
TargetIP8800.txt;https://routrekwebresources.blob.core.windows.net/library/support/download/rmc/TargetIP8800.txt;
CSS code;https://digwp.com/examples/CustomLoginCode/custom-login-03.txt;
g-line3.txt;https://www.exploit-db.com/ezines/kr5hou2zh4qtebqk.onion/G-line/g-line3.txt;
Password Cracking;https://www.cs.scranton.edu/~plishka/cmps311/projects2006/PasswordCrackingPowerpoint.ppt;
Port Antonio Suite group name: CariCof Workshop password;ftp://ftp.cimh.edu.bb/caricof/CariCOF_Stakeholder_Meetings_and_Trainings/CariCOF_2014_wet_season/COF_meeting/Internet.ppt;
Export.txt;https://community.microfocus.com/cfs-file/__key/telligent-evolution-components-attachments/00-224-01-00-00-92-46-06/Export.txt;
VASCO ENTERPRISE SECURITY;https://www.alias.it/scarica/e07b2cd1fa093a393b5adc844cc8d0d4/;
